> vim: nospell

Package Name         Pages
--------------------------

abraces                   5
addfont                   4
algpseudocodex            9
algxpar                  23
annotate-equations        6
arraycols                 5
asymptote               196
attachfile2              52
autofancyhdr              0
autofancyhdr        1500N/A
babel                   215
barracuda                 6
beamer                  247
beamerappendixnote        3
beamerauxtheme            7
beamertheme-focus        18
beamertheme-light         4
beamertheme-trigon       36
beamerthemenord          13
beaulivre                11
beautybook               26
biblatex-license          4
biblatex-publist         24
biblatex-software        12
bigdelim                 32
blox                     21
bodeplot                 12
bookmark                 53
bookshelf                45
businesscard-qrcode       1
bytefield                58
calxxxx−yyyy              1
cascade                  10
cellprops                30
centeredline              1
centerlastline            2
changelog                 7
changes                  35
chemfig                  83
chemmacros               73
chemnum                  27
circledsteps              4
circuitikz              209
circuitikz              260
clicks                    2
clrdblpg                  2
clrstrip                  7
cmap                      1
codeanatomy              10
codehigh                 15
coffeestains              4
color-edits               9
colorist                  4
csquotes                 50
csvmerge                 21
csvsimple                65
cutwin                   15
datetime2               181
debate                    1
decisiontable             6
derivative               33
diabetes-logbook          9
dimnum                   14
doclicense               38
docsurvey                29
dpcircling                1
draftwatermark           19
dynbrackets               2
ean13isbn                 4
easyfloats               43
einfart                   4
embrac                    9
eqexpl                    6
eqnnumwarn                2
euclideangeometry        40
europecv                 16
exam                    133
exam-randomizechoices    19
exams                    17
exercisebank             25
exercisepoints            3
exesheet                 23
exframe                  85
fancybox                 29
fancyhdr                 76
fbox                      4
fcolumn                  27
fewerfloatpages           7
ffcode                    1
fnpct                    16
fontsetup                24
fontsetup-nonfree         6
fontsize                 39
footmisc                  9
footnotehyper            15
froufrou                  3
gatherenum                4
gitver                    2
glosmathtools             5
graphbox                 12
graphicscache            14
graphicspxd               2
graphpaper               15
gridpapers               13
highlight-latex           4
href-ul                   1
hvfloat                 102
hvlogos                   5
hvqurl                    5
hyperref                 63
hyperxmp                116
iexec                     1
import                    2
innerscript              14
inputnormalization        4
interval                  3
intopdf                   3
jourrr                    4
jslectureplanner         32
jupynotex           1500N/A
kblocks                   9
komascript              567
labelschanged             4
latex-doc-ptr             3
lebhart                   4
lectureslides             3
leftindex                 2
letterswitharrows         9
libertinus-otf           32
lineno                   20
linenoamsmath            13
lipsum                   87
ltx4yt                    4
lua-typo                 26
lua-ul                   18
luacas                   78
luaul                    18
make4ht                  38
mathfixs                 16
mathtools                40
mi-solns                  9
mindflow                  4
mismath                  15
mlmath                    7
mlmodern                  2
modernposter              3
moodle                   29
mparhack                 14
multicol                 39
multicolrule             24
multirow                 32
newpax                    7
newverbs                 14
nicematrix               80
nicematrix              197
ninecolors                3
nl-interval               3
nndraw                    4
noindentafter             4
nomencl                  34
numerica                 95
orcidlink                 3
overlays                  2
pbalance                 19
pdfoverlay               14
pdfpages                 12
pgf                    1321
pgf-periodictable       136
pgf-pie                   5
pgfplots                573
phfcc                    39
phonenumbers            127
pinoutikz                 7
polyglossia              74
polynom                   7
postit                   13
postnotes                14
prelim2e                  4
proof-at-the-end         12
pseudo                   91
pxpic                    16
pythontex               149
quantikz                 24
ragged2e                 20
rorlink                   3
runcode                   4
sanitize-umlaut          11
secnum                    5
sectionbreak              3
semantex                 72
showexpl                 14
simplivre                13
siunitx                  82
skeldoc                   4
skills                   12
smart-eqn                 8
spacingtricks             8
spath3                  163
spbmark                   4
stix2-otf                93
subfiles                 14
subtext                   3
swfigure                 25
tabularray              160
tagpdf                   43
tasks                    16
tcolorbox               543
tex-nutshell             31
textcsc                   5
thmtools                 51
tikz-imagelabels         13
tikzmark                 37
tikzpackets               3
tile-graphic             21
to-be-determined          1
todonotes                37
topiclongtable            5
totalcount                3
twemojis                  3
typewriter                3
tzplot                  137
unicode-math-input        8
utfsym                    9
vcell                     6
vtable                    4
widows-and-orphans        2
worldflags               25
xcpdftips                 6
xsim                     79
xurl                      2
zref-check                8
________________________________________________________________


LuaTeX-Only Packages
-----------------

stricttex                 2
plantuml                  3
lutabulartools            4
lua-visual-debug          5
barracuda                 6
semesterplanner           6
yamlvars                  6
pyluatex                  7
truthtable                8
innerscript              14
luaul                    18
lua-typo                 41
piton                    68
lua-physical             69
emoji                   120
